BatchID,CropType,FarmLocation,SoilMoisture_%,Temperature_C,Rainfall_mm,Fertilizer_kg_per_ha,Yield_tonnes_per_ha,PestRiskScore,HarvestRobotUptime_%,HarvestDate,StorageTemperature_C,Humidity_%,SpoilageRate_%,GradingScore,PredictedShelfLife_days,StorageDays,ProcessType,PackagingType,PackagingSpeed_units_per_min,DefectRate_%,MachineryUptime_%,TransportMode,TransportDistance_km,FuelUsage_L_per_100km,DeliveryTime_hr,DeliveryDelayFlag,SpoilageInTransit_%,RetailInventory_units,SalesVelocity_units_per_day,DynamicPricingIndex,WastePercentage_%,HouseholdWaste_kg,RecipeRecommendationAccuracy_%,SatisfactionScore_0_10,WasteType,SegregationAccuracy_%,UpcyclingRate_%,BiogasOutput_m3
B_00001,lettuce,RegionA_Field1,59.64482597160236,33.872318403351976,20.20916220212934,110.47345706470975,6.205970313025,1.912896643728701,75.38625908815038,2025-10-23,4.512170859966105,78.86993224140971,4.241506626490206,B,18.84924874695687,9.64736038962262,Drying,Aluminum,132.43921030698567,3.5662179882605205,97.89103044821886,Ship,550.1506702539509,16.628953242667382,13.619612247258766,1,2.40576200765507,3346.7007263827127,449.1369211569038,0.6771938124840381,6.039638261714675,4.025477513120447,87.93037581453915,6.742658910573451,Mixed,88.58531463755057,55.38967522401051,69.98286910824208
B_00002,tomato,RegionC_Field1,52.978924527196476,23.394546338522446,138.4322683388264,53.1010090693287,5.78603705068152,16.57481769652207,80.80275901505051,2025-08-01,3.3178095715674143,79.99957545733922,3.909612995170076,C,5.0400296887257205,11.562328324412087,Canning,Cardboard,339.24814772823163,2.8820269385003883,93.51146084205871,Train,1207.813967194,15.152042372443146,23.06665934881117,1,10.73185433039725,4286.414145728363,63.3054383534348,0.9642704049639603,8.641020550080949,3.183604225681959,73.8000795356009,7.171694258241459,Organic,83.65580971985565,30.297082526265076,95.8554007949528
B_00003,corn,RegionA_Field2,63.67315107033088,27.77051895328171,12.458359626012538,167.19199136612644,5.1204101018323485,89.08555349831467,96.93028630134643,2025-09-24,2.0013622293095334,71.43479609220684,19.302868485519923,C,12.080477095241687,8.675549382758588,Fresh,Cardboard,197.49704262854848,2.5699173531094752,85.61712830381309,Train,80.68516172841157,37.58618541681659,39.756552261970015,0,10.534479294568362,6727.85938922072,241.7278818217279,0.5200343840772151,10.558183956631364,4.427036614667654,79.95211522393761,6.675915646093843,Packaging,96.98804436956101,69.17345854158496,59.64561063072833
B_00004,tomato,RegionA_Field2,35.59089506505158,22.951887959255885,101.88442562995795,125.3163151900001,3.45986401268056,24.153684170168177,71.79244535998745,2025-05-14,7.490009226485164,84.58268120460511,5.915489459041988,B,27.03525830808125,9.742226480863184,Freezing,Aluminum,437.0330835454067,6.641527650544821,91.03988333439439,Truck,556.1268848967269,29.60854946951913,56.36136271883248,0,14.504270885007715,269.80163889647963,377.67302998008796,0.6409793369901141,5.460776657724951,3.3923430825231167,89.5977578564657,6.6797962409775655,Mixed,98.3270235302314,44.530550639388466,63.630267181905566
B_00005,tomato,RegionC_Field1,61.81069247439561,20.4843040469734,199.33937077059537,199.5893710744397,4.597647544455894,35.42713272172156,72.67845531522998,2025-08-22,7.063276467385574,92.10858569928219,2.9283011432697483,A,19.84121462768402,1.2883097818820124,Fresh,Glass,105.18262249010297,4.1938783151968595,97.94036200792087,Train,1339.6950517977286,25.41413664701656,24.48686144520109,0,4.5028827645849665,8219.521220987914,309.6307538473482,1.1788463850288613,18.169897349065888,4.094274803815376,72.84267977690503,7.712766218883057,Organic,89.09533195591665,44.88463239173224,84.92687504381811
B_00006,rice,RegionB_Field2,38.065092801909785,34.67955295919656,162.79405390120377,124.3094519271543,4.726225444846172,10.534548448133318,74.72093868698065,2025-06-20,6.453753388921683,73.79357282382631,5.005457346167329,B,20.19657060202451,6.391164689248664,Freezing,Glass,245.05866487990568,9.654106993686115,95.4244490319698,Truck,112.5222577982698,46.94453536249887,26.946770133514175,0,11.346682145512977,8810.000767388003,59.286971732345705,1.2474616034817538,9.290671693161944,2.818891504920633,73.69029291373472,5.959820045615763,Packaging,81.97619565683468,78.36111374402691,66.98908678584068
B_00007,corn,RegionA_Field2,36.54623771462818,23.18668012630086,123.04388764620218,124.97977787674617,6.388539487971411,22.236130474817028,87.26117218967937,2025-03-11,3.006887573876172,84.94520033503785,27.711941876303282,B,15.084107625658831,9.295052713094664,Fresh,Cardboard,228.52742021077364,6.838430306453614,94.09482156084454,Train,212.24354219242323,21.748097813681234,19.930561962162418,0,6.510978917964435,8586.283309812887,204.33700142197648,0.6153190332378768,8.483112182380339,2.6260912581545033,71.78832001191472,7.686977126166823,Organic,94.92059866773079,76.29815522654648,73.29326220175226
B_00008,corn,RegionB_Field2,36.570631917239716,32.881984073582686,61.25072415732233,235.79829968290085,8.232110846176859,51.922457078020514,74.36369585917393,2025-09-14,2.722181457259916,86.61848012277116,24.644137583285726,B,21.911803587310274,13.042142543861848,Fresh,Plastic,472.12423409926834,7.920445910489612,94.00292992281342,Air,622.1224823322804,28.62788036334902,19.822653050671413,0,8.377091874242025,3813.038430166808,258.5473541262634,0.727709550411197,16.995060978686652,3.620486213861924,98.88629473829798,6.394827185991504,Mixed,93.24568565935559,35.09728783588908,23.416868619664243
B_00009,corn,RegionA_Field2,62.58298880925528,19.599092117821723,124.77916725832769,62.03570899458836,6.316668798785626,60.775268309565256,98.07421506207127,2025-07-23,2.405628496834299,80.48336701048221,10.621936870652823,B,9.748319155758978,9.55098668052395,Freezing,Glass,118.91066027198174,2.9274154858315993,83.38238616155314,Ship,1761.7193572875206,47.910913032471306,68.42046921263577,0,12.246807834008372,4673.795122905661,497.9643448409737,0.5989044465370511,6.239568032957969,0.09844655987875539,81.22522628944586,6.444914521208998,Organic,86.7387457055959,19.84053900641576,37.126692411507086
B_00010,tomato,RegionA_Field2,56.607888827848,19.262094080501665,105.40829278233032,275.7237487979968,3.4049111461301242,24.535231416621105,82.95472129049709,2025-05-11,6.3441751326375275,87.52743968410675,19.674623019821784,A,25.46867025960479,7.418523823109717,Drying,Plastic,54.43107125540493,0.7918640910862584,95.66894354533079,Ship,1541.5280123223276,29.948729699296486,46.482002573322305,0,3.329925675284634,222.64438684718272,97.51787556858986,0.9334128439251168,16.349306890219218,3.451887858157117,96.2680598643044,8.693740145178115,Organic,96.8607420054103,32.796671259466585,14.730134571189302
